species,state
albicans,AFother
alborufescens,other
amnicola,other
angelana,other
argyrophylla,other
atlantica,AF
baumgratziana,AF
brunnea,AFother
budlejoides,AF
burchellii,other
capixaba,AF
castaneiflora,AF
chrysophylla,other
cinerascens,AF
cipoensis,other
corallina,AFother
cowanii,other
cubatanensis,AFother
cyathanthera,AFother
dichrophylla,other
discolor,AFother
dispar,other
dura,AF
fallax,AFother
fasciculata,AF
ferruginata,AFother
flammea,AFother
formosa,AF
heliotropoides,other
hyemalis,AFother
hypoleuca,AFother
kollmannii,AF
kriegeriana,AF
lepidota,AFother
longispicata,other
lourteigiana,other
lymanii,AF
macrothyrsa,other
macuxi,other
mayarae,other
mellina,AFother
multispicata,other
navioensis,other
octopetala,AF
penduliflora,AF
pepericarpa,AFother
petroniana,AF
polyandra,AF
pterocaulon,other
punctata,other
racemifera,AF
robusta,AF
rondoniensis,other
rufescens,other
ruficalyx,AFother
ruschiana,AF
sclerophylla,AFother
secundiflora,other
serialis,AFother
setosociliata,AF
shepherdii,AF
stenostachya,AFother
suberosa,other
tiliifolia,other
valtheri,AF
willdenowii,AF
