species,X0,AF,Ama,And,Cat,Cer,Cha,Mes,Pam
albicans,1,1,1,1,1,1,1,1,0
alborufescens,0,1,1,0,1,1,0,0,0
amnicola,0,0,1,1,0,0,0,0,0
angelana,0,1,0,0,0,1,0,0,0
argyrophylla,0,1,1,1,0,1,0,1,0
atlantica,0,1,0,0,0,0,0,0,0
baumgratziana,0,1,0,0,0,1,0,0,0
brunnea,0,1,0,0,0,1,0,0,0
budlejoides,0,1,0,0,1,1,0,0,0
burchellii,0,1,1,0,0,1,0,0,0
capixaba,0,1,0,0,0,0,0,0,0
castaneiflora,0,1,0,0,0,0,0,0,0
chrysophylla,0,1,1,0,0,1,0,0,0
cinerascens,1,1,0,0,0,1,1,0,1
cipoensis,0,0,0,0,0,1,0,0,0
corallina,0,1,0,0,1,1,0,0,0
cowanii,0,0,1,0,0,1,0,0,0
cubatanensis,1,1,0,0,1,1,0,0,0
cyathanthera,0,1,0,0,1,1,0,0,0
dichrophylla,0,0,1,1,0,0,0,0,0
discolor,0,1,0,0,0,1,0,0,0
dispar,0,0,1,0,0,1,0,0,0
dura,0,1,0,0,0,0,0,0,0
fallax,0,1,1,1,1,1,0,0,0
fasciculata,0,1,0,0,0,0,0,0,0
ferruginata,0,1,1,0,1,1,0,0,0
flammea,0,1,1,0,1,1,0,0,0
formosa,0,1,0,0,0,1,0,0,0
heliotropoides,0,0,1,0,0,1,0,0,0
hyemalis,0,1,0,0,0,1,0,0,1
hypoleuca,1,1,1,0,1,0,0,1,0
kollmannii,0,1,0,0,0,0,0,0,0
kriegeriana,0,1,0,0,0,0,0,0,0
lepidota,0,1,1,1,1,1,0,1,0
longispicata,0,0,1,0,0,1,0,0,0
lourteigiana,0,0,1,1,0,0,0,0,0
lymanii,0,1,0,0,0,0,0,0,0
macrothyrsa,0,1,1,1,1,1,0,1,0
macuxi,0,0,1,0,0,0,0,0,0
mayarae,0,0,1,0,0,1,0,0,0
mellina,0,1,0,0,0,1,0,0,0
multispicata,0,0,1,1,0,0,0,1,0
navioensis,0,1,1,0,0,0,0,0,0
octopetala,0,1,0,0,0,0,0,0,0
penduliflora,0,1,0,0,0,0,0,0,0
pepericarpa,0,1,1,0,1,1,0,0,0
petroniana,0,1,0,0,0,0,0,0,0
polyandra,0,1,0,0,0,0,0,0,0
pterocaulon,0,0,1,1,0,0,0,1,0
punctata,0,0,1,1,0,1,0,1,0
racemifera,0,1,0,0,0,0,0,0,0
robusta,0,1,0,0,0,0,0,0,0
rondoniensis,0,0,1,0,0,1,0,0,0
rufescens,0,0,1,1,0,1,0,1,0
ruficalyx,0,1,1,1,0,0,0,1,0
ruschiana,0,1,0,0,0,0,0,0,0
sclerophylla,0,1,0,0,1,1,0,0,0
secundiflora,0,0,1,0,0,0,0,0,0
serialis,0,1,1,0,1,0,0,1,0
setosociliata,0,1,0,0,0,0,0,0,0
shepherdii,0,1,0,0,0,1,0,0,0
stenostachya,0,1,1,1,1,1,1,1,0
suberosa,0,0,1,0,0,0,0,0,0
tiliifolia,0,0,1,1,0,1,1,0,0
valtheri,0,1,0,0,0,1,0,0,0
willdenowii,0,1,0,0,0,0,0,0,0
