species,state,rao
albicans,AFother,229.629623413086
alborufescens,other,318.222229003906
amnicola,other,159.111114501953
angelana,other,583.407409667969
argyrophylla,other,229.629623413086
atlantica,AF,450.716049194336
baumgratziana,AF,601.08642578125
brunnea,AFother,291.604934692383
budlejoides,AF,353.580261230469
burchellii,other,229.827163696289
capixaba,AF,282.864196777344
castaneiflora,AF,494.790130615234
chrysophylla,other,159.111114501953
cinerascens,AF,194.469131469727
cipoensis,other,468.172836303711
corallina,AFother,256.246910095215
cowanii,other,159.111114501953
cubatanensis,AFother,300.296295166016
cyathanthera,AFother,318.222229003906
dichrophylla,other,176.790130615234
discolor,AFother,229.827163696289
dispar,other,159.111114501953
dura,AF,512.691345214844
fallax,AFother,194.271606445312
fasciculata,AF,388.938262939453
ferruginata,AFother,229.827163696289
flammea,AFother,318.222229003906
formosa,AF,450.716049194336
heliotropoides,other,159.111114501953
hyemalis,AFother,194.469131469727
hypoleuca,AFother,317.802474975586
kollmannii,AF,477.333343505859
kriegeriana,AF,335.901245117188
lepidota,AFother,247.086418151855
longispicata,other,159.111114501953
lourteigiana,other,203.308647155762
lymanii,AF,548.049377441406
macrothyrsa,other,176.790130615234
macuxi,other,185.62963104248
mayarae,other,176.790130615234
mellina,AFother,362.41975402832
multispicata,other,264.987640380859
navioensis,other,159.111114501953
octopetala,AF,335.901229858398
penduliflora,AF,494.518524169922
pepericarpa,AFother,247.50617980957
petroniana,AF,662.740737915039
polyandra,AF,424.296295166016
pterocaulon,other,176.790130615234
punctata,other,167.950622558594
racemifera,AF,353.481491088867
robusta,AF,353.58024597168
rondoniensis,other,158.66667175293
rufescens,other,176.790130615234
ruficalyx,AFother,176.790130615234
ruschiana,AF,371.259246826172
sclerophylla,AFother,371.259246826172
secundiflora,other,274.024688720703
serialis,AFother,176.790130615234
setosociliata,AF,494.518524169922
shepherdii,AF,601.08642578125
stenostachya,AFother,194.469131469727
suberosa,other,114.913581848145
tiliifolia,other,176.790130615234
valtheri,AF,344.518508911133
willdenowii,AF,415.209869384766
