state,species,rao_precip_seasonality,rao_soil_pH,rao_solar_radiation,rao_temp_diurnal_range
AFother,albicans,0.641975283622742,0.790123462677002,0.839506149291992,0.641975283622742
other,alborufescens,0.888888895511627,0.839506149291992,0.839506149291992,0.691358029842377
other,amnicola,0.444444447755814,0.543209850788116,0.691358000040054,0.271604940295219
other,angelana,1.62962961196899,0.444444447755814,0.691358029842377,5.87654304504395
other,argyrophylla,0.641975283622742,0.765432089567184,0.790123462677002,0.345679014921188
AF,atlantica,1.25925928354263,0.93827161192894,0.962962955236435,1.77777779102325
AF,baumgratziana,1.67901229858398,0.888888895511627,2.17283940315247,2.419753074646
AFother,brunnea,0.814814805984497,0.691358029842377,0.888888895511627,1.1851851940155
AF,budlejoides,0.987654328346252,0.839506149291992,0.839506149291992,1.25925922393799
other,burchellii,0.641975283622742,0.691358029842377,0.444444447755814,0.641975283622742
AF,capixaba,0.790123462677002,1.33333337306976,0.790123462677002,2.56790113449097
AF,castaneiflora,1.38271605968475,0.839506149291992,0.962962955236435,1.13580250740051
other,chrysophylla,0.444444447755814,0.592592567205429,0.691358029842377,0.345679014921188
AF,cinerascens,0.543209850788116,0.691358029842377,0.691358029842377,0.790123462677002
other,cipoensis,1.30864197015762,0.444444447755814,0.86419752240181,1.80246913433075
AFother,corallina,0.716049373149872,0.691358029842377,1.03703701496124,1.23456788063049
other,cowanii,0.444444447755814,0.543209850788116,0.493827164173126,0.19753086566925
AFother,cubatanensis,0.839506149291992,0.641975283622742,0.740740746259689,1.26697528362274
AFother,cyathanthera,0.888888895511627,0.666666656732559,0.691358029842377,1.13580250740051
other,dichrophylla,0.493827164173126,0.691358029842377,0.444444447755814,0.271604940295219
AFother,discolor,0.641975283622742,0.641975283622742,0.691358029842377,0.691358029842377
other,dispar,0.444444447755814,0.691358029842377,0.493827164173126,0.345679014921188
AF,dura,1.43209874629974,0.740740716457367,1.92592597007751,0.790123462677002
AFother,fallax,0.543209850788116,0.691358029842377,0.691358029842377,0.641975283622742
AF,fasciculata,1.08641970157623,0.790123462677002,1.08641970157623,1.1851851940155
AFother,ferruginata,0.641975283622742,0.691358029842377,0.543209850788116,0.888888895511627
AFother,flammea,0.888888895511627,0.740740716457367,0.839506149291992,1.13580250740051
AF,formosa,1.25925922393799,0.814814805984497,1.06172835826874,1.28395056724548
other,heliotropoides,0.444444447755814,0.641975283622742,0.493827164173126,0.46913580596447
AFother,hyemalis,0.543209850788116,0.691358029842377,0.691358029842377,0.691358029842377
AFother,hypoleuca,0.888888895511627,1.11111110448837,0.839506149291992,0.790123462677002
AF,kollmannii,1.33333337306976,2.27160501480103,0.888888895511627,1.28395056724548
AF,kriegeriana,0.938271582126617,0.543209850788116,1.92592597007751,1.08641970157623
AFother,lepidota,0.691358029842377,0.814814805984497,0.888888895511627,0.493827164173126
other,longispicata,0.444444447755814,0.496913582086563,0.691358029842377,0.345679014921188
other,lourteigiana,0.567901223897934,0.790123462677002,1.03703701496124,0.46913580596447
AF,lymanii,1.53086423873901,0.691358029842377,1.23456788063049,1.48148143291473
other,macrothyrsa,0.493827164173126,0.691358029842377,0.543209850788116,0.641975283622742
other,macuxi,0.518518507480621,0.617283940315247,0.93827161192894,0.19753086566925
other,mayarae,0.493827164173126,0.543209850788116,0.444444447755814,0.345679014921188
AFother,mellina,1.01234567165375,0.691358029842377,1.40740740299225,1.72839504480362
other,multispicata,0.740740716457367,1.1851851940155,1.1851851940155,0.641975283622742
other,navioensis,0.444444447755814,0.543209850788116,0.839506149291992,0.19753086566925
AF,octopetala,0.938271582126617,1.23456788063049,1.01851850748062,1.1851851940155
AF,penduliflora,1.38271605968475,0.641975283622742,2.37037038803101,2.419753074646
AFother,pepericarpa,0.691358029842377,0.592592597007751,0.543209850788116,1.08641970157623
AF,petroniana,1.85185188055038,0.814814805984497,2.02469128370285,1.72839510440826
AF,polyandra,1.1851851940155,1.03703701496124,0.691358029842377,1.28395056724548
other,pterocaulon,0.493827164173126,0.790123462677002,0.691358029842377,0.444444447755814
other,punctata,0.46913580596447,0.790123462677002,0.740740716457367,0.444444447755814
AF,racemifera,0.98765429854393,0.691358029842377,0.86419752240181,0.938271582126617
AF,robusta,0.987654328346252,0.814814805984497,1.18518513441086,1.16049385070801
other,rondoniensis,0.444444447755814,0.691358029842377,0.345679014921188,0
other,rufescens,0.493827164173126,0.839506149291992,1.33333337306976,0.444444447755814
AFother,ruficalyx,0.493827164173126,0.790123462677002,0.641975283622742,0.444444447755814
AF,ruschiana,1.03703701496124,1.38271605968475,0.493827164173126,1.13580250740051
AFother,sclerophylla,1.03703701496124,0.790123462677002,0.987654328346252,1.33333337306976
other,secundiflora,0.765432089567184,0.839506149291992,1.16049382090569,0.666666656732559
AFother,serialis,0.493827164173126,0.987654328346252,1.77777779102325,0.543209850788116
AF,setosociliata,1.38271605968475,0.938271582126617,1.87654316425323,1.38271605968475
AF,shepherdii,1.67901229858398,0.839506149291992,1.87654316425323,1.38271605968475
AFother,stenostachya,0.543209850788116,0.691358029842377,0.790123462677002,0.543209850788116
other,suberosa,0.320987656712532,0.934413582086563,0.493827164173126,0.172839507460594
other,tiliifolia,0.493827164173126,0.839506149291992,0.46913580596447,0.493827164173126
AF,valtheri,0.962962955236435,0.641975283622742,0.814814805984497,1.33333337306976
AF,willdenowii,1.16049379110336,0.543209850788116,1.16049385070801,1.70370370149612
