species,state,range
albicans,AFother,1445.58010448276
alborufescens,other,591.473098943296
amnicola,other,87.052414282797
angelana,other,1.767055992848
argyrophylla,other,792.671271121418
atlantica,AF,6.4763289624195
baumgratziana,AF,12.4207392180905
brunnea,AFother,25.981658510634
budlejoides,AF,121.445776608634
burchellii,other,197.880388464257
capixaba,AF,0.358363024694497
castaneiflora,AF,2.31608698108101
chrysophylla,other,439.437973629708
cinerascens,AF,102.40412186849
cipoensis,other,0.148545757478001
corallina,AFother,85.554227257755
cowanii,other,165.647868685813
cubatanensis,AFother,104.60197156881
cyathanthera,AFother,32.1339197321569
dichrophylla,other,350.993639826623
discolor,AFother,62.5472936872186
dispar,other,362.19956747586
dura,AF,0.00732281347450042
fallax,AFother,880.168185059042
fasciculata,AF,41.3232096035808
ferruginata,AFother,271.299329071929
flammea,AFother,234.025599444561
formosa,AF,50.7102515160964
heliotropoides,other,166.406613263672
hyemalis,AFother,65.1257260189065
hypoleuca,AFother,467.934125058159
kollmannii,AF,0.0301472451434983
kriegeriana,AF,0.277211206995002
lepidota,AFother,941.279375675669
longispicata,other,280.078278686521
lourteigiana,other,223.506694505
lymanii,AF,15.6089102000108
macrothyrsa,other,528.817027938429
macuxi,other,81.9583158328725
mayarae,other,242.113481054351
mellina,AFother,3.17878382402901
multispicata,other,411.916632586246
navioensis,other,232.624306036912
octopetala,AF,12.5680496035421
penduliflora,AF,0.0413728633524981
pepericarpa,AFother,100.668968738001
petroniana,AF,14.8663300824775
polyandra,AF,16.1516728620917
pterocaulon,other,146.082619752466
punctata,other,1013.78605669042
racemifera,AF,17.318656486335
robusta,AF,1.10683250486401
rondoniensis,other,46.8884444458204
rufescens,other,575.814895512998
ruficalyx,AFother,646.556264675875
ruschiana,AF,0.504037756833995
sclerophylla,AFother,35.92174769943
secundiflora,other,9.416904314694
serialis,AFother,612.852281498213
setosociliata,AF,5.03597178949698
shepherdii,AF,13.51471299093
stenostachya,AFother,1218.64769670055
suberosa,other,0.3649134797725
tiliifolia,other,114.378762537115
valtheri,AF,46.522019861753
willdenowii,AF,15.4658356942816
