species,temp_diurnal_range,precip_seasonality,solar_radiation,soil_pH
albicans,0.319117292646586,0.233223058438428,0.199288562781543,0.160959424633788
alborufescens,0.220323390249778,0.295038253727799,0.110761784743085,0.0992769724110943
amnicola,0.583132067571841,2.08372289336368,1.3674333866964,0.890592665956249
angelana,0.00876851110838357,0.385591028675474,0.128788047714343,0.217689843973108
argyrophylla,0.745928470285731,0.274302852221057,0.376677094763403,0.881604925998811
atlantica,0.501136995376657,0.0396225884490806,0.26620587264222,0.199362013877704
baumgratziana,0.578354304744124,0.0698349265384707,0.379287138870091,0.214392898567831
brunnea,0.170696757121074,0.205930696522704,0.522960180741993,0.227482691280242
budlejoides,0.44111894403256,0.250714079089804,0.495101667472517,0.269475577942867
burchellii,0.248024823956929,0.567641671749541,0.066476346893727,0.0435361037207459
capixaba,0.578354304744124,0.0698349265384707,0.175417660650988,0.00259605022502332
castaneiflora,0.176052353854191,0.0994016005634327,0.656346687386523,0.234284133002138
chrysophylla,0.559236371869134,0.133104321327567,0.189061543758952,0.944964095136234
cinerascens,0.233202726940331,1.27699519709246,0.625752974077687,0.323528929773123
cipoensis,0.0105336400877668,0.948509359622236,0.0258684108576268,0.0577542972268084
corallina,0.0329093644784701,0.595258163406015,0.30996972468913,0.189812450780771
cowanii,1.33596637365937,0.315875105900378,0.295544477509553,1.723641731804
cubatanensis,0.332532956376994,0.488745048336051,0.637534678284202,0.238803841895793
cyathanthera,0.0291642712306213,0.551182141608409,0.162044465990292,0.156889434255928
dichrophylla,0.841786958405242,0.322059329424763,0.410716824831662,1.52591035304142
discolor,0.0793956198609621,0.389943072238476,0.114250965562924,0.118000197583433
dispar,0.969353690397188,0.307822532217935,0.29943776020155,1.12598554438337
dura,0.023308029034368,0.543156930692461,0.436489310659659,0.205981294274421
fallax,0.208806168293674,0.351124332607836,0.0979873851420332,0.12470119415389
fasciculata,0.890116393350444,0.312476155916237,0.87467439351338,0.309183397345586
ferruginata,0.105995568347029,0.462515721214125,0.0742973971536711,0.0926785179386938
flammea,0.177115990472607,0.480521918704588,0.202509873533542,0.149871731409709
formosa,0.765997138631378,0.28060283244849,0.865390298218468,0.306045555217008
heliotropoides,0.18496467074507,0.398918808217213,0.115249115173216,0.0930459207946262
hyemalis,0.249419195050423,1.43320545894747,0.609917004945272,0.252152845189062
hypoleuca,2.1115523115233,0.295035860597778,0.27188626223958,0.0869011477359628
kollmannii,0.453017222874156,0.0491003180817209,0.201211391723564,-0.00351339943071612
kriegeriana,0.0913476541128389,0.024609176704526,0.13599031567993,0.372907794571621
lepidota,0.672155624588519,0.173123096832403,0.211300484195562,0.469606066485088
longispicata,0.979720790092954,0.231626950014215,0.329522131936352,1.66998818918694
lourteigiana,0.197101870350174,0.348804882524821,0.92228614839237,1.03344091486756
lymanii,0.715353540813991,0.565216630364677,1.08242504986683,0.349569917026156
macrothyrsa,0.199448918677267,0.538014517495503,0.054632873848143,0.105575492641485
macuxi,0.519830849917105,0.204078293362931,0.0276206758576289,1.04649827804514
mayarae,0.763767286592973,0.134777233593157,0.269208541682657,1.06502234648137
mellina,0.06381224008567,0.501457081115884,0.516403515323018,0.0889389701024133
multispicata,0.274293152480273,0.0923894792373994,0.714625923011075,0.224986217131371
navioensis,1.06295024868909,0.0532294802827567,0.0638532352075925,1.20542007862112
octopetala,0.587280594461866,0.0665691797217068,0.197374787920022,0.0395983873766654
penduliflora,0.27152976174163,-0.00024515487909466,0.559712182797864,0.0933542768691455
pepericarpa,0.0838918754377493,0.528138799410824,0.07782917035303,0.0987879600643389
petroniana,0.0823968517412356,0.0428824928767332,0.26863434600455,0.314451369738396
polyandra,0.27981993395756,0.0491003180817209,0.204973406236749,0.191069651519164
pterocaulon,0.563059958444132,0.723510512874544,0.766060631679184,0.456453394965315
punctata,0.504655004790687,0.36892262835766,0.431258435651185,0.920422749213141
racemifera,0.32955752647108,0.16692727622282,0.757256886499044,0.196607204787446
robusta,0.131592090009647,0.276354787097331,0.552700680114705,0.331325085654397
rondoniensis,0.170734170762115,0.0421974724356167,0.742066357731772,1.73829429223618
rufescens,0.555245064678608,0.161800137499117,0.320711403730345,0.606482153789842
ruficalyx,0.58292002840457,0.165782106317557,0.239215150106179,0.754508099655374
ruschiana,0.142224580450111,0.0302238943818314,0.145868472973256,0.0578998069798235
sclerophylla,0.0355392093769916,0.963954838727432,0.0855536599020147,0.0758923152665919
secundiflora,1.0576423879432,0.0879146470072497,0.0512243069540565,0.915704888120051
serialis,1.04702666645141,0.0518939955371261,0.879965932719107,0.239769598110077
setosociliata,0.162225077814792,0.0386391740526785,0.372675259240058,0.294395666132277
shepherdii,0.0631443011864401,0.257422367586459,0.371753925524287,0.303894987192923
stenostachya,0.20404454531877,0.327673085656047,0.104246637632859,0.116058511838076
suberosa,1.34488234103093,0.512833885239142,0.534094953643329,2.12593247658488
tiliifolia,0.306562251610812,0.0473019679299075,0.577099405328322,0.412084303097413
valtheri,0.447490441396869,0.379363206465318,0.733427454912117,0.295146882520066
willdenowii,0.216672262175062,0.427095843874601,0.395228040420586,0.216863528385072
