AF,other,AFother
0,0,1
0,1,0
0,0,1
0,1,0
0,1,0
0,0,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,0,1
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,1,0
0,0,1
0,1,0
0,1,0
0,1,0
1,0,0
1,0,0
0,0,1
0,0,1
0,1,0
1,0,0
0,1,0
0,0,1
0,1,0
0,0,1
1,0,0
1,0,0
1,0,0
1,0,0
0,0,1
0,0,1
1,0,0
1,0,0
1,0,0
1,0,0
0,0,1
0,0,1
1,0,0
1,0,0
1,0,0
0,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0,0,1
1,0,0
1,0,0
0,0,1
1,0,0
0,1,0
0,0,1
0.00178750585773728,0.787275210868817,0.210937283273446
0.000785769564074151,0.970296524221556,0.0289177062143697
0.00136465016287011,0.970522590409871,0.0281127594272588
0.000769104462190355,0.952132702626285,0.0470981929115247
0.00603300107590245,0.937905005369687,0.0560619935544105
0.0205918652436685,0.711770976528398,0.267637158227934
2.10830016155559e-05,0.298545050202692,0.701433866795693
0.0003966096356309,0.87049019216125,0.129113198203119
0.000141129213310181,0.662003691854173,0.337855178932517
0.00314621992032406,0.790261393296681,0.206592386782995
0.000836902288335016,0.862814557600876,0.136348540110789
5.5713484684374e-05,0.991596074991479,0.0083482115238367
1.0373151164727e-05,0.994423515821901,0.00556611102693455
9.51844715278279e-08,0.996891304740732,0.00310860007479659
0.000747112410803153,0.953843137010219,0.045409750578978
0.012019909977216,0.719390470746351,0.268589619276433
0.00206798085963065,0.926421573654131,0.0715104454862382
0.000284672018236222,0.986115300044792,0.0136000279369717
0.000259802204418124,0.981912126697726,0.0178280710978557
4.408638434794e-06,0.988972511297625,0.0110230800639398
3.41128827422354e-06,0.993417223672052,0.00657936503967361
6.65782841788258e-07,0.997487012387623,0.00251232182953504
6.66997558275275e-07,0.998047030027427,0.00195230297501494
1.13282268057038e-08,0.998497465229757,0.00150252344201575
2.29176996137181e-05,0.990520616632252,0.00945646566813441
0.000270253245242736,0.822037213461219,0.177692533293539
5.24053510275088e-05,0.532491643735665,0.467455950913308
0.000116726806134852,0.969919702715736,0.0299635704781292
0.0125778384012077,0.676960183227943,0.310461978370849
0.0124789621428019,0.705470979359232,0.282050058497966
0.0942260478378366,0.489094764774975,0.416679187387188
0.288568768934533,0.329532026589901,0.381899204475566
0.379875769461709,0.000493338938352317,0.619630891599938
0.998672359851224,5.6107692194427e-07,0.00132707907185423
0.0765644402556878,0.289471403534095,0.633964156210217
0.114894570414027,0.210313338960136,0.674792090625837
0.791395596453529,0.00351825120148235,0.205086152344988
0.917037710075277,8.02568044279583e-05,0.0828820331202953
0.871752668666487,0.000268049632998887,0.127979281700514
0.689983089988625,0.0119836553703879,0.298033254640987
0.104656920803199,0.14762110556965,0.747721973627151
0.264103670857674,0.000270005724695812,0.73562632341763
0.848997328096923,0.000358651815509954,0.150644020087567
0.997725504573832,4.12306472987398e-06,0.00227037236143845
0.998708023372858,2.41096518328694e-07,0.00129173553062403
0.358823148624362,0.0156178710851399,0.625558980290498
0.993984249961736,4.62324364133868e-05,0.00596951760185074
0.993708738626561,2.5363713780471e-06,0.00628872500206063
0.986341517921733,7.37441050778484e-06,0.0136511076677593
0.996085999914421,6.76278319502229e-06,0.00390723730238421
0.946619281816202,0.000220567859273396,0.0531601503245246
0.984047648607834,6.64208393960269e-05,0.0158859305527702
0.893220713324496,8.41659744887031e-06,0.106770870078055
0.774964230018441,0.00260555642565886,0.2224302135559
0.816180433698445,3.68058974921496e-05,0.183782760404063
0.998179415742009,2.72081823813463e-06,0.00181786343975317
0.995810468093668,7.543010513869e-07,0.00418877760528067
0.997206200055539,6.34042467164949e-07,0.00279316590199359
0.994276367471903,1.16780175316329e-06,0.00572246472634424
0.865460485911336,0.00179486341765021,0.132744650671014
0.967958165523245,0.00106540686730824,0.0309764276094465
0.819855206466308,0.00053481850792762,0.179609975025765
0.989292463176286,2.01749803501593e-05,0.0106873618433635
0.663533656170763,0.00078983055491843,0.335676513274318
0.0353987965496635,0.579665068650404,0.384936134799933
