model,theta,se,alpha,sigma_sq
BM1,304.193299693804,364.272531001223,NA,165369.614570125
BM1,311.229923387005,298.755366545632,NA,73289.5070729836
BM1,277.406940632599,911.707364033658,NA,1196046.06321755
BM1,308.77251822048,330.843743880474,NA,129447.59083596
BM1,307.163810945794,212.08785052336,NA,37919.1087475976
BM1,314.517562338364,293.647953017041,NA,68636.5391567688
BM1,299.047750959756,291.147151660278,NA,91599.5705259673
BM1,317.263556255139,241.4192275176,NA,70607.4402936889
BM1,302.778165648435,217.372737057745,NA,35829.6210395664
BM1,295.77399402546,340.62778896873,NA,166018.972870363
BM1,309.896878428349,234.970440953665,NA,58698.0650815487
BM1,291.770221427171,210.866706996701,NA,43382.8906040097
BM1,283.938012440342,419.156821429331,NA,200649.976433028
BM1,315.913981120414,228.371454497463,NA,45611.4465554069
BM1,300.334906867722,495.567873515961,NA,291562.181165127
BM1,298.737249578335,239.831264457051,NA,75450.4141610801
BM1,300.680375091044,225.809052036846,NA,50071.1072199705
BM1,332.856381869854,245.291574451399,NA,62231.0593819425
BM1,320.622557133391,238.451180933438,NA,68310.9576829677
BM1,331.192588915094,246.163490885281,NA,85567.3400910268
BM1,307.763038959285,278.57761537205,NA,110089.471875635
BM1,369.77277596284,240.178430704716,NA,68808.8332077105
BM1,285.953325705877,197.650844077033,NA,44655.3752340502
BM1,290.858494353791,305.645147179082,NA,87721.0090753546
BM1,364.190316217836,414.266222140201,NA,269385.461014069
BM1,309.26979035624,240.121588959886,NA,72285.0420162193
BM1,371.317398927706,234.376512024706,NA,41688.7401643331
BM1,286.908062436082,262.416528546971,NA,75003.9866343722
BM1,332.046896428093,266.60902850611,NA,99487.4952478081
BM1,292.862585811415,430.441426664536,NA,161313.001431672
BM1,344.471669156979,367.168781654043,NA,169808.525420944
BM1,347.633297397497,328.176343428601,NA,98188.0001672527
BM1,296.224297822562,232.30951647723,NA,62946.515856755
BM1,318.100309414942,387.766077880573,NA,143457.541958598
BM1,348.074370959151,246.786170306439,NA,59309.0859852256
BM1,290.739831917468,225.581738520962,NA,68596.7446962348
BM1,310.887694998252,230.904913147398,NA,59579.7053264282
BM1,295.590868926887,264.353432955856,NA,66166.1863462503
BM1,314.99269443544,250.545560955324,NA,65744.0263556889
BM1,305.956941091733,231.516975418503,NA,62781.2649589713
BM1,318.811443964881,226.994803558107,NA,74143.9536104381
BM1,281.600448976705,364.643504678459,NA,148171.815446519
BM1,289.873886108163,278.787214554711,NA,64001.5700733634
BM1,288.807134301199,289.77684460384,NA,93906.6940474009
BM1,289.831118721383,219.439905573957,NA,55211.498499157
BM1,309.982810202463,237.198587216939,NA,48318.0540049283
BM1,311.442933398895,218.210046298325,NA,60789.7262030879
BM1,314.588159111837,363.214376703279,NA,175416.556523459
BM1,313.280880201453,211.309104430563,NA,38313.4937693071
BM1,359.513727117264,248.243308001428,NA,65658.167074978
BM1,299.064259179216,221.541854994589,NA,37221.103833509
BM1,305.844134814966,376.017626163599,NA,197878.48729254
BM1,267.962476984959,235.753803140734,NA,91808.9030844088
BM1,290.46080604616,230.090913203181,NA,48533.7780919617
BM1,338.637454428776,253.178580356732,NA,61343.2496191356
BM1,335.714650273247,238.590849516065,NA,54923.2955950055
BM1,285.618768501811,247.785968896872,NA,72691.3687967194
BM1,325.239806926049,287.828926913091,NA,102493.592796362
BM1,322.576482401686,295.663407904689,NA,80957.5522949913
BM1,285.367701963895,353.277728776888,NA,138446.807340033
BM1,314.032253208424,251.250137545159,NA,57672.2485799326
BM1,308.509137517169,221.239508220597,NA,68839.2159781442
BM1,327.512763111054,255.23790320198,NA,67642.8282905819
BM1,292.481224597152,604.466108964909,NA,344255.91294068
BM1,273.661989538938,317.903234648288,NA,157795.038006583
BM1,299.414597135198,368.310388949177,NA,130526.998742523
BM1,290.49879744254,239.778627805744,NA,74396.7745499119
BM1,364.547684158486,257.852037100889,NA,82812.1271309471
BM1,340.714027734628,301.05345870881,NA,85822.49847902
BM1,331.487690611552,292.355836510832,NA,77282.8880876106
BM1,279.884234402145,321.031683248991,NA,96163.7177617481
BM1,304.495010611477,310.396749903723,NA,103989.721562191
BM1,275.869302823432,319.484176740785,NA,93158.0201032578
BM1,332.242004462285,315.513748296426,NA,102569.179045274
BM1,312.85174946926,230.217328476553,NA,47461.3522348924
BM1,341.730039713486,273.546901215254,NA,95842.2097881385
BM1,342.096056777422,247.241299474347,NA,56864.696001566
BM1,329.615124386857,308.974642255955,NA,94539.1352791346
BM1,278.055876224653,558.60209564032,NA,303084.417568504
BM1,329.755944489766,251.315383129203,NA,65315.9385202859
BM1,289.997395013092,191.993387257964,NA,57649.4891268585
BM1,299.690563947799,309.254466898175,NA,111404.580972717
BM1,301.335936668945,304.225486159347,NA,98240.613056704
BM1,334.459359635587,357.363438311168,NA,143963.954197456
BM1,277.042536256214,317.407234466666,NA,101233.616086624
BM1,331.982510935265,257.326002088712,NA,64485.7139562676
BM1,271.76452606994,302.189448476255,NA,123346.263769739
BM1,329.113322499847,308.46906291479,NA,105602.913576222
BM1,343.460635834762,235.758487173671,NA,52909.18517798
BM1,288.673417260252,263.103551930279,NA,93433.5873276731
BM1,315.322118145525,354.286011637191,NA,128811.185867209
BM1,321.072933214168,226.790742655327,NA,58324.1226688321
BM1,327.553182848615,273.808017455146,NA,83051.4503951104
BM1,289.705364813886,266.979410632724,NA,64910.4581106318
BM1,315.567675548341,342.291376294694,NA,102436.247270116
BM1,319.94346984444,209.970401126469,NA,46454.2119737012
BM1,289.867678557708,262.160683558737,NA,56889.165706412
BM1,320.966206179235,256.215530466138,NA,81045.2550302462
BM1,335.342683467441,459.430589399266,NA,261784.249491015
BM1,276.78579913871,257.760892410705,NA,80290.625445981
